type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Treated,Peel,L4Y,Family Style,Franchise,15,Yes,No,1-10,18.01,No
Treated,Toronto,M2V,Family Style,No,4,Yes,No,10-20,14.65,No
Treated,Durham,L0C,Family Style,No,17,Yes,Yes,10-20,21.88,No
Treated,Peel,L6Z,Casual Dining,Franchise,2,Yes,Yes,20-30,15.16,Yes
Treated,Toronto,M5X,Fast Food,No,10,Yes,Yes,10-20,16.68,No
Treated,Toronto,M9N,Family Style,No,18,Yes,Yes,10-20,19.75,Yes
Treated,Peel,L5G,Premium Casual,Franchise,11,Yes,No,10-20,18.59,No
Treated,Toronto,M3S,Fine Dining,No,22,Yes,Yes,20-30,16.52,No
Treated,Peel,L7K,Casual Dining,No,16,Yes,No,10-20,21.62,No
Treated,York,L4A,Premium Casual,No,5,Yes,No,10-20,19.31,No
Treated,Toronto,M5V,Fast Casual,Franchise,9,Yes,No,10-20,19.69,No
Treated,York,L4L,Fine Dining,Franchise,9,Yes,Yes,10-20,14.37,No
Treated,Toronto,M4C,Family Style,No,10,Yes,Yes,1-10,21.81,No
Treated,Durham,L1R,Family Style,No,21,Yes,No,10-20,20.53,No
Treated,Toronto,M4Q,Family Style,No,13,Yes,Yes,>30,19.99,No
Treated,York,L9N,Fast Casual,No,6,Yes,No,1-10,15.83,No
Treated,Toronto,M3M,Casual Dining,Franchise,25,Yes,No,10-20,21.61,No
Treated,Toronto,M6Q,Family Style,No,12,Yes,Yes,10-20,21.36,No
Treated,Toronto,M5R,Fast Food,No,1,Yes,No,1-10,22.41,Yes
Treated,York,L9N,Fast Food,Franchise,17,Yes,No,1-10,18.34,No
Treated,Peel,L6R,Premium Casual,No,21,Yes,No,10-20,18.52,No
Treated,York,L3S,Premium Casual,No,10,Yes,No,10-20,19.07,No
Treated,Peel,L6S,Family Style,No,2,Yes,No,1-10,19.63,No
Treated,York,L4S,Casual Dining,No,5,No,No,10-20,18.64,No
Treated,Peel,L6T,Casual Dining,Franchise,8,Yes,Yes,10-20,16.1,No
Treated,York,L7B,Casual Dining,Franchise,9,Yes,Yes,20-30,16.42,No
Treated,Peel,L7K,Fast Casual,No,1,Yes,No,10-20,17.17,No
Treated,Toronto,M5O,Casual Dining,No,17,No,No,1-10,16.2,No
Treated,Toronto,M7U,Family Style,No,14,Yes,Yes,>30,19.46,No
Treated,York,L6G,Fast Casual,No,13,Yes,Yes,10-20,19.37,No
Treated,Halton,L7T,Fast Casual,Franchise,13,No,No,1-10,15.17,No
Treated,Peel,L6Y,Family Style,No,1,Yes,No,10-20,22.27,No
Treated,Toronto,M2B,Premium Casual,No,13,Yes,No,1-10,20.41,Yes
Treated,Toronto,M5I,Family Style,No,4,Yes,Yes,20-30,18.77,No
Treated,York,L9N,Family Style,Franchise,13,Yes,Yes,1-10,21.1,No
Treated,Durham,L9P,Casual Dining,Franchise,11,Yes,No,1-10,18.27,No
Treated,Peel,L5L,Fine Dining,Franchise,7,Yes,No,10-20,21.44,No
Treated,Peel,L4X,Fast Food,Franchise,7,No,No,10-20,19.92,No
Treated,Halton,L9T,Casual Dining,Franchise,1,Yes,Yes,10-20,18.6,No
Treated,Halton,L9E,Casual Dining,Franchise,13,Yes,No,10-20,18.39,No
Treated,Toronto,M8A,Fast Casual,No,9,Yes,No,1-10,12.91,No
Treated,York,L4G,Family Style,No,9,Yes,Yes,>30,15.08,Yes
Treated,Peel,L6V,Casual Dining,No,8,Yes,No,10-20,17.12,No
Treated,Toronto,M6U,Family Style,Franchise,7,Yes,No,10-20,20.6,No
Treated,Toronto,M2S,Fast Casual,No,9,Yes,No,1-10,14.74,No
Treated,Peel,L5H,Premium Casual,No,20,No,Yes,10-20,21.18,No
Treated,Durham,L1T,Family Style,No,10,Yes,No,20-30,19.38,No
Treated,Halton,L6J,Casual Dining,Franchise,6,Yes,No,1-10,18.25,No
Treated,Toronto,M5Y,Casual Dining,No,3,Yes,Yes,1-10,12.59,No
Treated,Peel,L7A,Family Style,Franchise,5,Yes,No,10-20,19.54,No
Treated,Halton,L7P,Fast Casual,No,22,Yes,No,10-20,16.68,No
Treated,Durham,L1W,Fast Casual,No,12,Yes,Yes,20-30,15.55,Yes
Treated,Toronto,M4F,Family Style,Franchise,3,Yes,Yes,1-10,16.62,No
Treated,Peel,L7A,Casual Dining,Franchise,8,Yes,No,10-20,16.41,No
Treated,Toronto,M8F,Family Style,Franchise,9,Yes,Yes,1-10,21.87,No
Treated,York,L4G,Family Style,No,8,No,No,20-30,16.97,No
Treated,Peel,L7A,Fast Casual,Franchise,21,Yes,Yes,10-20,13.3,No
Treated,Toronto,M3Q,Casual Dining,No,14,Yes,No,1-10,16.42,No
Treated,Halton,L0P,Fast Casual,No,13,Yes,Yes,10-20,20.81,No
Treated,Durham,L1J,Fine Dining,Franchise,21,Yes,Yes,1-10,19.2,No
Treated,Toronto,M2E,Fast Food,No,1,Yes,Yes,10-20,19.81,No
Treated,Peel,L6Z,Fine Dining,Franchise,23,No,No,1-10,18.05,No
Treated,Peel,L7C,Family Style,Franchise,10,Yes,No,10-20,17.88,Yes
Treated,York,L9N,Casual Dining,Franchise,5,Yes,Yes,1-10,16.69,No
Treated,Peel,L4Z,Fine Dining,No,25,Yes,No,10-20,14.92,No
Treated,Toronto,M7F,Fast Food,Franchise,12,Yes,No,1-10,21.11,No
Treated,Toronto,M7S,Fast Food,No,15,No,Yes,10-20,21.73,No
Treated,Durham,L9L,Fast Casual,No,9,Yes,Yes,1-10,19.72,No
Treated,Halton,L9T,Fast Casual,No,2,Yes,No,1-10,18.56,No
Treated,Peel,L6Y,Casual Dining,Franchise,15,Yes,No,20-30,20.37,No
Treated,Durham,L1K,Casual Dining,Franchise,12,Yes,No,10-20,18.87,No
Treated,Toronto,M6N,Fast Casual,No,3,Yes,No,10-20,20.53,No
Treated,Halton,L6H,Fast Casual,Franchise,5,Yes,No,1-10,15.57,No
Treated,Toronto,M1D,Premium Casual,No,12,Yes,No,10-20,15.38,No
Treated,Halton,L7M,Fine Dining,No,1,Yes,No,10-20,17.78,No
Treated,Toronto,M0A,Casual Dining,No,20,Yes,No,1-10,16.45,No
Treated,Peel,L5G,Casual Dining,No,11,Yes,Yes,1-10,20.33,No
Treated,Toronto,M2G,Premium Casual,Franchise,4,Yes,No,10-20,16.64,No
Treated,Durham,L1Y,Fast Food,No,4,No,Yes,20-30,15.41,No
Treated,Durham,L9L,Casual Dining,Franchise,1,Yes,Yes,10-20,16.18,No
Treated,Peel,L5E,Premium Casual,Franchise,1,No,Yes,10-20,19.84,No
Treated,York,L4C,Fast Casual,No,13,Yes,Yes,10-20,21.02,No
Treated,Peel,L6W,Premium Casual,Franchise,2,Yes,No,10-20,19.91,No
Treated,Peel,L6V,Premium Casual,No,9,Yes,No,10-20,19.13,No
Treated,Halton,L6J,Family Style,Franchise,3,Yes,No,10-20,17.24,Yes
Treated,York,L3Z,Casual Dining,Franchise,5,No,No,10-20,22.04,No
Treated,Peel,L4Y,Fast Casual,No,13,Yes,Yes,10-20,18.21,No
Treated,Peel,L4Z,Fast Food,No,9,Yes,No,10-20,20.11,No
Treated,York,L7B,Casual Dining,No,8,Yes,No,10-20,18.13,Yes
Treated,Peel,L5H,Fast Food,Franchise,2,Yes,Yes,20-30,18.08,Yes
Treated,Halton,L7T,Fine Dining,No,9,Yes,No,10-20,13.7,No
Treated,York,L0N,Fast Food,No,12,Yes,No,10-20,20.48,No
Treated,Halton,L7M,Premium Casual,No,4,Yes,Yes,1-10,19.2,No
Treated,Toronto,M1I,Casual Dining,Franchise,14,Yes,No,20-30,18.8,No
Treated,Peel,L7K,Casual Dining,No,10,Yes,Yes,1-10,17.23,No
Treated,Toronto,M5A,Fast Food,Franchise,3,Yes,Yes,1-10,20.58,No
Treated,Durham,L9P,Fast Food,No,4,Yes,No,10-20,18.11,No
Treated,Peel,L6V,Casual Dining,No,18,Yes,No,20-30,18.61,No
Treated,Peel,L5R,Casual Dining,No,16,Yes,Yes,10-20,17.92,No
Treated,Toronto,M2R,Casual Dining,Franchise,3,Yes,Yes,1-10,21.47,No
Treated,Halton,L7N,Fine Dining,No,20,Yes,Yes,10-20,19.41,No
Treated,York,L0J,Fast Food,Franchise,14,Yes,No,1-10,16.44,Yes
Treated,Peel,L5R,Fast Casual,Franchise,7,Yes,No,20-30,21.35,No
Treated,Durham,L0E,Casual Dining,No,3,No,No,10-20,19.9,No
Treated,Toronto,M7E,Casual Dining,No,14,Yes,No,>30,17.89,No
Treated,Durham,L0E,Casual Dining,Franchise,15,No,No,10-20,20.17,No
Treated,York,L4A,Casual Dining,No,9,Yes,No,20-30,19.46,No
Treated,Halton,L0P,Casual Dining,No,14,Yes,No,1-10,22.16,No
Treated,Toronto,M1V,Fast Casual,No,6,Yes,Yes,10-20,19.74,No
Treated,Peel,L6R,Family Style,No,7,Yes,No,1-10,17.78,No
Treated,York,L0H,Premium Casual,No,6,Yes,No,10-20,17.57,No
Treated,Toronto,M4R,Fast Casual,Franchise,13,No,No,10-20,14.46,No
Treated,Peel,L5M,Casual Dining,No,10,Yes,Yes,10-20,17.32,No
Treated,Peel,L4Z,Family Style,Franchise,7,Yes,Yes,10-20,17.01,No
Treated,Toronto,M3Q,Family Style,No,13,Yes,Yes,1-10,19.6,No
Treated,York,L3X,Fine Dining,No,5,Yes,Yes,10-20,17.06,No
Treated,Halton,L6H,Premium Casual,No,8,Yes,No,10-20,16.2,No
Treated,York,L7E,Premium Casual,Franchise,12,Yes,No,10-20,13.99,No
Treated,Peel,L6Y,Family Style,No,23,Yes,Yes,1-10,21.82,No
Treated,Toronto,M3B,Casual Dining,No,9,Yes,Yes,20-30,17.05,No
Treated,Toronto,M4Q,Fast Casual,No,2,Yes,No,10-20,18.09,No
Treated,Toronto,M7W,Fast Casual,No,1,Yes,Yes,>30,19.28,No
Treated,Halton,L0P,Family Style,Franchise,17,Yes,Yes,1-10,15.52,No
Treated,Peel,L4Y,Casual Dining,Franchise,11,Yes,No,10-20,17.82,Yes
Treated,Peel,L5T,Casual Dining,No,1,Yes,No,10-20,18.33,Yes
Treated,Durham,L0E,Fast Casual,Franchise,14,Yes,No,10-20,22.55,No
Treated,Peel,L7C,Casual Dining,Franchise,15,Yes,No,20-30,17.09,No
Treated,York,L9N,Premium Casual,No,2,Yes,Yes,>30,19.06,No
Treated,Peel,L5E,Family Style,No,14,Yes,Yes,1-10,16.17,No
Treated,Peel,L6R,Casual Dining,No,10,Yes,Yes,10-20,14.68,No
Treated,York,L7B,Family Style,No,9,No,No,1-10,15.54,No
Treated,Halton,L9E,Family Style,No,8,No,No,10-20,20.46,No
Treated,York,L0G,Fast Food,No,11,Yes,Yes,1-10,18.04,No
Treated,York,L7E,Fine Dining,Franchise,1,Yes,Yes,1-10,21.77,No
Treated,Durham,L9L,Fast Food,Franchise,5,Yes,No,1-10,15.86,No
Treated,Halton,L0P,Fine Dining,No,1,Yes,No,10-20,23.12,No
Treated,Peel,L7A,Fast Casual,No,5,Yes,No,10-20,15.34,No
Treated,Peel,L4W,Premium Casual,No,15,Yes,Yes,10-20,16.65,No
Treated,Peel,L4Y,Premium Casual,No,14,Yes,Yes,10-20,16.77,No
Treated,Halton,L7R,Casual Dining,Franchise,10,Yes,Yes,>30,16.27,No
Treated,York,L3S,Fast Casual,No,24,Yes,Yes,10-20,16.04,Yes
Treated,Toronto,M9R,Family Style,No,2,Yes,No,10-20,12.55,No
Treated,Toronto,M6W,Casual Dining,No,15,No,Yes,20-30,21.71,No
Treated,Toronto,M9K,Casual Dining,No,7,Yes,No,1-10,18.38,Yes
Treated,Durham,L1W,Family Style,Franchise,13,Yes,Yes,1-10,21.71,No
Treated,Peel,L7C,Fast Casual,Franchise,3,Yes,No,1-10,19.34,No
Treated,Halton,L0P,Casual Dining,Franchise,22,Yes,Yes,1-10,24.28,No
Treated,Toronto,M6N,Family Style,No,4,Yes,No,1-10,17.3,No
Treated,Durham,L1Y,Casual Dining,No,10,No,Yes,1-10,19.46,No
Treated,Toronto,M5A,Casual Dining,No,10,Yes,No,10-20,12.99,No
Treated,Peel,L5A,Family Style,No,7,No,Yes,1-10,17.64,No
Treated,Durham,L9P,Casual Dining,No,24,Yes,No,10-20,15.1,No
Treated,Peel,L6P,Casual Dining,Franchise,5,Yes,No,10-20,15.89,No
Treated,Durham,L1R,Fast Casual,No,5,Yes,No,10-20,15.7,No
Treated,Halton,L6H,Family Style,Franchise,3,No,Yes,1-10,16.66,No
Treated,York,L0N,Fast Casual,No,3,Yes,Yes,10-20,20.3,No
Treated,Durham,L1R,Fast Casual,No,2,No,No,10-20,16.72,No
Treated,Halton,L9T,Family Style,No,14,Yes,No,1-10,16.8,No
Treated,Toronto,M2B,Fast Casual,No,6,Yes,No,10-20,19.23,No
Treated,Toronto,M1Y,Fast Casual,Franchise,6,Yes,Yes,10-20,18.96,No
Treated,York,L3P,Fast Casual,Franchise,13,Yes,Yes,10-20,19.06,No
Treated,York,L7B,Fast Food,Franchise,7,Yes,Yes,1-10,14.33,Yes
Treated,Toronto,M9Q,Casual Dining,Franchise,18,Yes,No,20-30,14.9,No
Treated,Peel,L4V,Fast Casual,No,7,Yes,Yes,10-20,17.91,Yes
Treated,Durham,L9P,Fast Casual,No,14,Yes,No,10-20,17.35,No
Treated,Toronto,M8D,Casual Dining,Franchise,17,Yes,No,1-10,18.46,No
Treated,York,L9N,Family Style,No,9,Yes,No,1-10,15.93,No
Treated,Durham,L9L,Casual Dining,Franchise,2,Yes,No,10-20,16.59,No
Treated,York,L7E,Fast Casual,Franchise,5,Yes,No,1-10,15.95,No
Treated,York,L4G,Fine Dining,Franchise,5,Yes,No,1-10,20.18,No
Treated,York,L3P,Fast Food,No,13,Yes,No,1-10,18.61,No
Treated,Peel,L6V,Fast Casual,No,2,No,Yes,10-20,17.14,No
Treated,York,L0J,Family Style,No,13,Yes,Yes,10-20,18.46,Yes
Treated,Peel,L7A,Family Style,No,12,Yes,No,20-30,19.56,No
Treated,Halton,L7S,Family Style,Franchise,11,Yes,Yes,1-10,17.71,Yes
Treated,York,L0N,Premium Casual,No,18,Yes,No,>30,20.71,No
Treated,Peel,L5N,Casual Dining,No,2,Yes,No,1-10,16.46,No
Treated,Halton,L9T,Casual Dining,No,1,Yes,Yes,20-30,21.15,No
Treated,Toronto,M8A,Casual Dining,No,6,Yes,No,20-30,15.62,No
Treated,Durham,L1N,Fast Casual,No,18,No,Yes,1-10,19.67,No
Treated,York,L0H,Fine Dining,No,10,Yes,Yes,10-20,19.26,No
Treated,Toronto,M1T,Casual Dining,No,1,Yes,No,1-10,19.23,No
Treated,Durham,L0C,Family Style,No,4,Yes,No,10-20,19.57,No
Treated,Toronto,M7W,Casual Dining,No,3,Yes,No,1-10,17.65,No
Treated,Halton,L6J,Fast Food,No,20,Yes,No,10-20,16.85,No
Treated,Peel,L7K,Fast Food,No,7,Yes,Yes,10-20,16.5,No
Treated,York,L9N,Premium Casual,Franchise,10,Yes,No,1-10,16.97,No
Treated,Toronto,M3A,Fast Food,No,1,Yes,Yes,>30,20.33,No
Treated,Toronto,M5S,Fast Casual,Franchise,12,Yes,Yes,10-20,18.29,No
Treated,Durham,L9P,Casual Dining,No,3,Yes,No,10-20,16.83,No
Treated,York,L9N,Family Style,No,12,Yes,Yes,20-30,15.02,No
Treated,Peel,L7C,Casual Dining,No,2,Yes,Yes,10-20,14.69,No
Treated,York,L6A,Fine Dining,Franchise,1,Yes,No,1-10,21.07,No
Treated,Durham,L1Y,Fast Food,Franchise,8,Yes,No,10-20,17.92,No
Treated,Toronto,M6Y,Family Style,Franchise,11,Yes,No,1-10,17.55,No
Treated,Toronto,M2B,Fast Casual,No,3,Yes,No,10-20,15.83,No
Treated,Durham,L9L,Fast Casual,No,16,Yes,No,10-20,18.04,Yes
Treated,York,L3P,Fine Dining,Franchise,0,Yes,No,20-30,13.82,No
Treated,York,L7B,Premium Casual,Franchise,21,Yes,Yes,1-10,16.6,No
Treated,Toronto,M0J,Casual Dining,No,6,Yes,No,10-20,16.18,No
Treated,Peel,L5G,Casual Dining,No,19,Yes,Yes,1-10,16.06,Yes
Treated,Peel,L5T,Family Style,Franchise,7,Yes,No,10-20,17.46,No
Treated,Toronto,M5T,Fast Food,No,16,Yes,No,10-20,18.72,Yes
Treated,Halton,L7L,Family Style,Franchise,14,Yes,Yes,20-30,19.36,No
Treated,Peel,L4Y,Fast Food,No,3,Yes,No,10-20,14.65,No
Treated,Toronto,M5N,Fast Food,Franchise,16,Yes,Yes,10-20,19.95,Yes
Treated,York,L7B,Premium Casual,Franchise,21,Yes,No,10-20,23.31,No
Treated,Toronto,M8Y,Casual Dining,Franchise,12,Yes,No,10-20,19.99,No
Treated,Toronto,M2R,Fast Food,Franchise,0,Yes,No,1-10,13.46,No
Treated,Toronto,M5W,Fast Casual,No,7,Yes,Yes,1-10,18.02,No
Treated,Halton,L0P,Casual Dining,Franchise,1,Yes,Yes,10-20,15.58,No
Treated,Peel,L5T,Fine Dining,No,11,Yes,No,1-10,11.65,No
Treated,Durham,L9L,Fast Casual,Franchise,8,Yes,Yes,10-20,15.28,No
Treated,Durham,L9L,Fine Dining,No,8,Yes,Yes,1-10,14.77,No
Treated,Toronto,M9U,Fast Casual,Franchise,25,Yes,No,10-20,19.61,No
Treated,Peel,L6X,Casual Dining,Franchise,4,Yes,No,1-10,14.89,No
Treated,Toronto,M4K,Casual Dining,Franchise,21,Yes,No,1-10,18.83,No
Treated,York,L0G,Casual Dining,Franchise,20,Yes,No,1-10,15.6,No
Treated,York,L0E,Family Style,Franchise,17,Yes,No,10-20,17.84,No
Treated,Peel,L6R,Fast Casual,No,5,Yes,Yes,10-20,14.78,No
Treated,Toronto,M4Q,Fast Food,Franchise,5,Yes,No,1-10,20.66,Yes
Treated,Durham,L1R,Fast Casual,No,4,No,Yes,1-10,19.23,No
Treated,Peel,L4V,Family Style,No,13,Yes,Yes,1-10,17.48,No
Treated,Toronto,M3V,Fast Food,No,10,Yes,No,20-30,17.95,No
Treated,Durham,L0C,Premium Casual,Franchise,13,Yes,No,10-20,17.09,No
Treated,York,L3Y,Fast Casual,No,7,Yes,Yes,20-30,18.39,No
Treated,Durham,L9P,Family Style,No,7,Yes,No,10-20,17.12,No
Treated,Halton,L9E,Family Style,No,1,Yes,No,1-10,16.56,No
Treated,York,L7B,Fine Dining,Franchise,9,Yes,No,1-10,18.78,No
Treated,Halton,L7L,Casual Dining,No,4,Yes,Yes,10-20,24.14,No
Treated,York,L9N,Family Style,No,6,Yes,No,1-10,17.75,Yes
Treated,Toronto,M2P,Fast Food,Franchise,11,Yes,No,10-20,13.55,No
Treated,Peel,L4T,Fast Food,No,14,No,No,1-10,17.72,No
Treated,Toronto,M5D,Fast Food,No,0,Yes,No,1-10,23.95,No
Treated,York,L7E,Fast Casual,No,4,Yes,No,10-20,17.77,No
Treated,York,L0H,Fast Casual,No,11,No,No,10-20,19.39,No
Treated,Peel,L4X,Premium Casual,No,10,Yes,No,1-10,20.53,No
Treated,Durham,L9P,Fast Casual,Franchise,11,Yes,No,10-20,17.98,No
Treated,Toronto,M4F,Fast Food,Franchise,6,Yes,Yes,10-20,19.14,No
Treated,Halton,L0P,Family Style,No,8,No,No,10-20,17.44,No
Treated,Toronto,M5S,Casual Dining,No,9,Yes,Yes,10-20,18.27,No
Treated,Toronto,M6J,Premium Casual,No,10,Yes,Yes,20-30,19.34,No
Treated,Halton,L7S,Fast Casual,Franchise,6,Yes,No,20-30,13.64,No
Treated,Durham,L9L,Casual Dining,No,12,Yes,Yes,10-20,19.26,No
Treated,Peel,L6W,Fast Food,Franchise,11,Yes,No,10-20,14.23,No
Treated,Toronto,M8I,Fast Food,No,3,No,Yes,20-30,15.82,No
Treated,Halton,L0P,Fast Casual,Franchise,13,Yes,Yes,1-10,18.2,Yes
Treated,Peel,L7C,Family Style,No,5,Yes,No,10-20,18.57,Yes
Treated,York,L9N,Family Style,No,16,Yes,Yes,1-10,15.24,No
Treated,Toronto,M8B,Fast Food,No,8,No,Yes,>30,20.14,No
Treated,Peel,L4W,Fast Casual,No,21,Yes,Yes,10-20,16.5,No
Treated,Peel,L4Y,Fast Casual,No,9,Yes,No,10-20,20.08,No
Treated,Toronto,M1G,Casual Dining,No,13,Yes,No,20-30,13.34,No
Treated,Toronto,M4Z,Family Style,No,17,Yes,Yes,1-10,23.67,No
Treated,York,L0E,Family Style,No,13,Yes,No,10-20,18.95,No
Treated,Peel,L5S,Fast Casual,Franchise,11,Yes,No,10-20,19.37,No
Treated,York,L6A,Family Style,No,21,Yes,No,10-20,19.1,No
Treated,Toronto,M5G,Fast Casual,No,15,Yes,No,1-10,20.72,No
Treated,Durham,L1G,Casual Dining,Franchise,2,Yes,Yes,10-20,16.93,No
Treated,Toronto,M5D,Casual Dining,No,9,Yes,No,>30,12.82,No
Treated,Durham,L9L,Premium Casual,Franchise,16,Yes,Yes,20-30,15.74,No
Treated,Durham,L9P,Casual Dining,Franchise,7,Yes,Yes,1-10,19.13,No
Treated,York,L3X,Fast Casual,No,10,No,Yes,1-10,17.31,No
Treated,York,L3S,Fast Casual,No,16,Yes,Yes,10-20,19.28,No
Treated,Peel,L5E,Casual Dining,Franchise,3,Yes,Yes,10-20,19.59,No
Treated,Toronto,M9J,Casual Dining,No,10,Yes,Yes,>30,17.33,No
Treated,York,L6G,Fast Food,No,4,Yes,No,10-20,12.26,No
Treated,Peel,L5G,Family Style,Franchise,4,No,Yes,10-20,22.93,No
Treated,Toronto,M7H,Premium Casual,Franchise,8,No,No,10-20,14.92,No
Treated,York,L9N,Premium Casual,No,14,Yes,No,1-10,17.5,No
Treated,Durham,L1V,Fast Food,No,10,No,Yes,1-10,16.48,No
Treated,York,L0J,Family Style,Franchise,9,Yes,No,10-20,19.01,No
Treated,York,L3R,Premium Casual,No,0,Yes,Yes,20-30,14.91,No
Treated,Peel,L7K,Fast Casual,No,23,Yes,No,1-10,17.16,No
Treated,York,L9N,Fast Casual,Franchise,19,Yes,No,1-10,16.73,No
Treated,Halton,L6J,Fine Dining,Franchise,11,Yes,No,10-20,20.08,No
Treated,Halton,L9T,Casual Dining,Franchise,8,Yes,Yes,10-20,20.37,No
Treated,York,L4A,Fast Food,No,13,Yes,Yes,10-20,17.77,Yes
Treated,Peel,L7A,Fast Casual,Franchise,17,Yes,No,1-10,16.17,No
Treated,York,L6B,Casual Dining,Franchise,10,Yes,No,10-20,14.27,No
Treated,York,L9N,Casual Dining,Franchise,5,Yes,Yes,10-20,19.03,No
Treated,York,L0J,Premium Casual,No,20,No,No,1-10,19.3,No
Treated,York,L6B,Premium Casual,No,2,Yes,No,10-20,18.76,No
Treated,Toronto,M9M,Family Style,Franchise,6,Yes,No,10-20,16.6,No
Treated,Peel,L5H,Family Style,Franchise,12,Yes,Yes,1-10,20.07,No
Treated,Peel,L6P,Family Style,No,18,Yes,No,10-20,18.06,No
Treated,Toronto,M2Z,Family Style,Franchise,12,Yes,Yes,20-30,21.83,No
Treated,Toronto,M8F,Fast Food,No,0,No,No,10-20,20.07,No
Treated,Halton,L0P,Premium Casual,Franchise,0,No,Yes,10-20,13.12,No
Treated,Toronto,M7A,Fast Food,No,16,Yes,No,1-10,17.78,No
Treated,Toronto,M9X,Fast Casual,No,8,Yes,No,1-10,18.21,No
Treated,York,L7B,Family Style,No,7,Yes,No,1-10,17.26,No
Treated,York,L6C,Premium Casual,Franchise,16,Yes,No,10-20,18.39,No
Treated,York,L4C,Fast Casual,No,7,Yes,No,1-10,15.87,No
Treated,Halton,L6M,Casual Dining,No,1,Yes,No,10-20,21.15,No
Treated,Toronto,M3E,Fine Dining,No,15,Yes,No,20-30,15.78,No
Treated,Toronto,M0D,Fast Casual,Franchise,16,Yes,Yes,10-20,18.66,Yes
Treated,Peel,L4Y,Premium Casual,No,0,Yes,No,20-30,16.31,No
Treated,Peel,L4W,Fast Food,No,16,Yes,Yes,1-10,16.13,No
Treated,Peel,L6V,Family Style,No,12,Yes,Yes,1-10,22.3,No
Treated,Toronto,M0G,Fine Dining,No,5,No,Yes,10-20,22.56,No
Treated,Durham,L9P,Fine Dining,No,27,No,Yes,1-10,14.62,No
Treated,Toronto,M0G,Casual Dining,No,9,Yes,Yes,10-20,18.23,No
Treated,Peel,L7A,Family Style,Franchise,5,Yes,No,10-20,21.92,No
Treated,Halton,L7S,Casual Dining,No,3,Yes,No,10-20,19.15,No
Treated,Halton,L6K,Premium Casual,No,0,Yes,Yes,10-20,18.94,No
Treated,Toronto,M4N,Family Style,No,23,Yes,No,10-20,15.35,No
Treated,Toronto,M5T,Family Style,No,19,Yes,Yes,1-10,17.45,No
Treated,York,L4H,Premium Casual,No,10,Yes,No,10-20,16.82,No
Treated,Toronto,M9A,Fast Casual,No,4,Yes,Yes,10-20,23.93,No
Treated,Peel,L4W,Fast Casual,No,5,Yes,Yes,10-20,21.23,Yes
Treated,York,L6E,Premium Casual,No,21,Yes,Yes,10-20,18.92,No
Treated,Toronto,M9D,Fast Food,No,20,No,No,10-20,18.66,No
Treated,Toronto,M5K,Family Style,No,8,Yes,No,1-10,14.7,No
Treated,Halton,L9E,Premium Casual,No,18,No,No,10-20,17.33,No
Treated,Toronto,M0C,Family Style,Franchise,2,Yes,No,1-10,18.52,Yes
Treated,Halton,L6K,Family Style,Franchise,25,Yes,No,10-20,23.68,No
Treated,Peel,L5L,Fast Food,No,3,Yes,Yes,10-20,17.95,Yes
Treated,York,L9N,Fast Food,Franchise,0,No,No,1-10,23.11,No
Treated,Durham,L1R,Family Style,Franchise,11,Yes,No,1-10,12.75,No
Treated,Toronto,M0L,Premium Casual,No,5,Yes,No,1-10,23.95,No
Treated,York,L4S,Fast Casual,No,3,Yes,No,10-20,17.97,Yes
Treated,Toronto,M3Q,Family Style,No,12,Yes,No,10-20,17.75,No
Treated,Peel,L4V,Premium Casual,Franchise,10,Yes,Yes,20-30,17.83,No
Treated,Toronto,M8F,Premium Casual,No,22,Yes,No,10-20,19.65,No
Treated,Peel,L5C,Premium Casual,No,5,Yes,No,>30,21.8,No
Treated,Toronto,M5S,Casual Dining,Franchise,23,Yes,No,1-10,19.88,No
Treated,Halton,L0P,Casual Dining,No,3,No,No,10-20,13.36,No
Treated,Peel,L5W,Family Style,Franchise,13,Yes,Yes,1-10,14.4,No
Treated,Toronto,M5K,Casual Dining,No,10,Yes,No,20-30,21.05,No
Treated,Durham,L0E,Fast Casual,No,13,Yes,No,1-10,21.39,No
Treated,York,L0H,Family Style,No,17,Yes,No,10-20,17.01,No
Treated,Halton,L7P,Casual Dining,Franchise,15,Yes,No,10-20,17.52,No
Treated,Peel,L7A,Family Style,Franchise,3,Yes,No,10-20,17.46,Yes
Treated,Toronto,M4V,Family Style,No,1,Yes,No,10-20,20.67,No
Treated,Durham,L1H,Fast Casual,Franchise,7,No,Yes,10-20,18.21,No
Treated,Toronto,M0W,Family Style,No,4,No,No,10-20,19.39,No
Treated,York,L9N,Family Style,No,14,Yes,No,10-20,19.72,No
Treated,Toronto,M7D,Fast Casual,No,18,Yes,Yes,20-30,16.23,No
Treated,York,L6C,Casual Dining,No,12,Yes,Yes,1-10,18.47,No
Treated,Durham,L9L,Casual Dining,No,1,No,Yes,10-20,15.85,No
Treated,Durham,L9P,Fine Dining,Franchise,4,Yes,No,1-10,16.08,No
Treated,Durham,L9L,Fast Casual,No,12,Yes,Yes,10-20,15.7,No
Treated,Peel,L4X,Family Style,No,2,No,Yes,10-20,17.74,No
Treated,Toronto,M7W,Casual Dining,Franchise,14,Yes,Yes,10-20,20.7,No
Treated,Toronto,M7E,Casual Dining,Franchise,7,Yes,Yes,10-20,20.35,No
